time,size,unique,min,max,avg,median,error,alive
0,21,14,15,99,33.7142857143,22,0,4
1,41,18,10,48,27.0243902439,20,0,6
2,62,22,9,52,28.9193548387,38.5,0,8
3,81,21,9,52,31.5061728395,42,0,10
4,99,22,8,48,32.4646464646,42,0,10
5,99,28,7,51,27.0707070707,19,0,10
6,100,26,7,49,21.97,13,0,10
7,100,23,7,46,19.35,12,0,10
8,99,25,7,56,16.7676767677,12,0,10
9,101,23,7,45,15.1683168317,11,0,12
10,121,15,6,45,11.4876033058,10,0,14
11,141,22,7,48,18.0425531915,11,0,16
12,161,26,7,51,29.5465838509,41,0,18
13,181,46,6,75,37.6243093923,43,0,20
14,198,26,6,51,32.3383838384,41,0,20
15,196,24,6,50,32.2602040816,42,0,20
16,195,29,7,73,30.6358974359,40,0,20
17,194,25,6,73,29.9381443299,40,0,20
18,192,20,6,48,35.53125,42,0,20
19,196,20,6,48,31.5459183673,42,0,23
20,213,24,5,51,29.3145539906,41,0,25
21,234,25,5,50,28.9658119658,40,0,26
22,259,26,6,50,29.4826254826,41,0,29
23,272,23,5,49,32.9632352941,42,0,30
24,293,25,5,50,31.8020477816,41,0,30
25,292,39,5,84,31.9452054795,41,0,30
26,291,31,5,52,27.5189003436,39,0,30
27,292,30,6,50,28.4006849315,39.5,0,30
28,294,28,6,50,28.6156462585,41,0,30
29,295,35,6,54,30.4576271186,41,0,31
30,315,38,6,75,30.8095238095,41,0,34
31,327,34,5,56,30.6697247706,41,0,36
32,356,33,5,60,30.5112359551,41,0,39
33,369,34,5,58,29.6693766938,41,0,40
34,390,32,5,53,30.6230769231,41,0,40
35,390,28,5,51,30.9897435897,41,0,40
36,387,28,5,51,30.2144702842,41,0,40
37,386,30,5,53,32.5984455959,42,0,40
38,392,31,6,53,35.2933673469,43,0,40
39,388,45,6,76,35.8943298969,43,0,43
40,406,33,6,75,32.5985221675,42,0,44
41,425,29,5,52,30.7105882353,41,0,46
42,450,31,5,57,33.9466666667,42,0,47
43,467,38,5,61,33.7880085653,42,0,50
44,481,40,6,64,33.4885654886,42,0,50
45,488,44,6,61,34.7684426230,43,0,50
46,484,54,6,83,35.9256198347,43,0,50
47,481,44,5,108,34.6465696466,42,0,50
48,485,34,5,54,30.3051546392,41,0,50
49,482,40,6,58,31.5269709544,42,0,52
50,507,36,5,55,31.8895463511,42,0,53
51,527,41,5,57,34.0151802657,43,0,56
52,546,58,6,75,36.2673992674,43,0,58
53,561,49,6,79,33.9786096257,43,0,59
54,582,43,6,68,32.2903780069,42,0,60
55,582,47,5,84,34.7079037801,43,0,60
56,582,44,5,64,33.7577319588,43,0,60
57,575,60,6,79,35.0469565217,43,0,60
58,581,65,6,111,37.8571428571,44,0,60
59,581,62,6,112,35.1669535284,43,0,61
60,595,51,6,64,32.8184873950,42,0,64
61,624,55,6,67,34.5785256410,43,0,67
62,635,63,6,103,36.1401574803,43,0,69
63,655,72,6,85,39.0687022901,44,0,69
64,677,60,6,76,34.9010339734,43,0,70
65,676,61,6,71,36.3594674556,43,0,70
66,680,74,6,161,38.6191176471,44,0,70
67,677,85,6,134,41.3559822747,45,0,70
68,672,91,6,217,45.2708333333,46.5,0,70
69,661,114,6,362,54.6021180030,44,0,71
70,690,67,6,91,38.5942028986,44,0,75
71,717,59,6,70,35.9860529986,44,0,75
72,728,63,7,69,38.1936813187,44,0,77
73,752,71,7,80,40.0625,44,0,80
74,772,82,7,112,43.8497409326,46,0,80
75,761,75,7,115,40.9474375821,44,0,80
76,769,77,7,95,42.8985695709,46,0,80
77,770,79,7,152,41.5337662338,45,0,80
78,764,76,7,89,43.0353403141,46,0,80
79,778,97,7,124,46.4023136247,47,0,83
80,786,92,7,118,44.2646310433,46.5,0,83
81,797,114,7,145,49.7139272271,48,0,85
82,820,98,7,122,46.6146341463,47,0,87
83,837,92,8,121,47.2449223417,49,0,90
84,869,89,8,124,48.1323360184,49,0,90
85,852,134,7,199,55.4941314554,51,0,90
86,847,158,8,1239,77.7083825266,56,0,90
87,831,207,8,1176,148.4801444043,57,0,90
88,775,137,8,201,58.5070967742,54,0,91
89,848,175,8,911,134.1827830189,55,0,91
90,786,149,8,322,65.0076335878,56,0,93
91,893,239,9,659,133.5968645017,67,0,95
92,906,281,9,575,162.7439293598,85,0,99
93,751,233,8,532,107.1105193076,78,0,99
94,908,362,8,774,227.9107929515,157,0,100
95,817,333,8,552,177.0575275398,117,0,100
96,843,351,9,746,226.2360616845,143,0,100
97,810,394,10,663,278.0888888889,278,0,100
98,775,390,9,675,313.7212903226,290,0,100
99,733,375,9,724,316.1377899045,322,0,100
100,815,330,9,646,402.9595092025,503,0,100
101,629,296,10,663,390.4117647059,462,0,100
102,648,264,9,639,417.3796296296,542,0,100
103,814,301,9,692,473.5368550369,594,0,81
104,614,256,9,797,452.0065146580,577,0,1
