time,size,unique,min,max,avg,median,error,alive
0,109,31,8,99,21.3669724771,14,0,15
1,205,30,7,49,24.8926829268,14,0,31
2,297,38,6,65,30.0404040404,40,0,41
3,412,62,6,277,47.5825242718,42,0,49
4,490,72,5,103,36.2836734694,42,0,50
5,513,71,6,151,37.0994152047,42,0,50
6,505,61,5,88,33.6554455446,41,0,50
7,505,53,5,105,32.4950495050,41,0,50
8,511,46,5,58,32.0469667319,41,0,50
9,506,43,5,72,30.5177865613,40,0,61
10,597,67,5,99,34.3835845896,41,0,67
11,707,51,5,61,32.6478076379,41,0,71
12,806,63,5,79,36.4801488834,43,0,81
13,919,79,5,95,38.7997823721,44,0,98
14,996,62,5,91,36.3985943775,42,0,100
15,990,87,5,171,39.3595959596,43,0,100
16,979,71,5,85,38.8518896834,44,0,100
17,982,74,5,98,40.5030549898,44,0,100
18,979,76,5,93,39.3973442288,44,0,100
19,986,68,5,100,39.1075050710,44,0,101
20,1073,70,5,77,38.7157502330,44,0,111
21,1178,94,5,135,41.7741935484,44,0,131
22,1275,99,6,130,46.1756862745,47,0,131
23,1362,239,5,285,90.0271659325,65,0,150
24,1377,283,5,340,111.7283950617,87,0,150
25,1389,257,5,324,99.7638588913,76,0,150
26,1392,285,5,324,113.4461206897,85,0,150
27,1353,313,6,494,112.1492978566,71,0,150
28,1354,262,6,416,122.2001477105,109,0,150
29,1410,351,6,414,161.4028368794,123,0,163
30,1357,383,6,658,210.1680176861,212,0,174
31,1481,550,5,708,336.9993247806,353,0,178
32,1293,616,5,869,407.1492652746,421,0,197
33,1366,669,5,1074,532.0658857980,574.5,0,200
34,1365,687,5,1053,569.9875457875,626,0,200
35,1274,656,5,1045,618.5627943485,693.5,0,200
36,1221,608,5,1194,722.0073710074,779,0,200
37,1258,557,5,1150,695.2774244833,885,0,200
38,1137,452,6,1121,806.1037818821,928,0,212
39,1240,490,6,1309,867.9370967742,1079.5,0,213
40,1066,483,6,1444,939.5994371482,1106.5,0,233
41,1028,423,5,1499,980.3112840467,1189,0,236
42,1307,438,5,1585,1188.3328232594,1374,0,236
43,1108,439,5,1589,1159.9350180505,1409,0,250
44,1439,496,6,1740,1318.6157053509,1456,0,250
45,1030,244,6,1587,1284.9466019417,1467.5,0,250
46,869,326,6,1618,1214.4154200230,1386,0,250
47,1231,297,5,1652,1403.2932575142,1525,0,250
48,1029,298,5,1662,1394.8649173955,1558,0,263
49,1173,307,6,1784,1516.7195225916,1692,0,263
50,1214,402,5,2072,1580.6976935750,1778,0,289
51,913,355,5,2212,1562.7042716320,1755,0,293
52,1396,457,6,2243,1761.5881088825,2005,0,293
53,1093,377,6,2234,1711.3074107960,1982,0,300
54,938,375,6,2111,1706.3752665245,1950,0,300
55,1152,325,5,2405,1858.3194444444,2038.5,0,300
56,1306,294,5,2390,1936.3055130168,2033,0,303
57,876,227,6,2258,1818.1563926941,2038,0,306
58,1006,292,6,2366,1947.0815109344,2233,0,312
59,1212,399,6,2548,2118.0552805281,2319,0,331
60,1113,432,6,2842,2151.8805031447,2382,0,341
61,736,312,6,2779,2039.7445652174,2605,0,342
62,1275,453,6,2806,2310.8737254902,2595,0,342
63,1460,450,6,2786,2360.1856164384,2649,0,350
64,710,367,6,2773,2135.4985915493,2532,0,350
65,1091,352,6,2901,2413.7791017415,2675,0,350
66,1196,348,6,2769,2291.2265886288,2619,0,350
67,1277,358,6,3058,2443.7595927956,2611,0,366
68,440,179,6,3133,2162.0318181818,3060.5,0,378
69,1516,454,6,3188,2683.8014511873,2975,0,366
70,1610,585,6,3518,2873.8403726708,3155.5,0,400
71,605,358,6,3484,2707.1289256198,3271,0,400
72,562,286,7,3557,2472.5960854093,3417,0,400
73,1558,417,7,3941,3068.5577663671,3373.5,0,400
74,1292,404,7,4064,2985.0092879257,3320,0,400
75,1103,340,7,3462,3059.1178603808,3349,0,401
76,389,204,7,3798,2730.6349614396,3603,0,402
77,998,343,7,3874,3166.8306613226,3518,0,402
78,1344,435,7,4009,3334.0915178571,3746,0,403
79,1622,433,7,4012,3586.0949445129,3840,0,448
80,363,260,7,4144,2519.2286501377,3601,0,450
81,661,359,7,4463,2925.0620272315,4074,0,450
82,1393,466,7,4503,3658.2089016511,4073,0,450
83,1149,429,8,6319,3685.7171453438,4035,0,450
84,1818,459,8,7498,3865.1512651265,4032,0,451
85,224,183,7,7437,1689.9821428571,138.5,0,451
86,656,319,8,4657,3157.9100609756,4234,0,474
87,1167,533,8,7898,3714.3693230506,4271,0,500
88,1232,501,8,7049,3832.7978896104,4340.5,0,451
89,2072,560,8,7919,4504.7326254826,4903.5,0,500
90,367,315,8,7919,3355.7166212534,4519,0,500
91,578,427,9,7699,2947.4480968858,4366,0,500
92,1134,622,9,7980,3803.6710758377,4451.5,0,500
93,1363,555,8,8558,3985.8833455613,4708,0,500
94,1258,691,8,8141,3683.6621621622,4949,0,506
95,1879,714,8,9323,4591.5337945716,5056,0,550
96,519,460,9,8463,2031.6685934489,388,0,550
97,1103,626,10,6271,3372.7280145059,4941,0,542
98,1248,647,9,5904,3411.5633012821,4358.5,0,542
99,1157,602,9,7247,3954.7787381158,5471,0,550
100,1208,571,9,6748,4207.6705298013,5730,0,550
101,1845,763,10,6279,4686.2395663957,5393,0,550
102,389,383,9,6364,1807.8046272494,563,0,550
103,1476,760,9,9513,4708.0088075881,5720.5,0,550
104,799,558,9,10026,4544.5018773467,5889,0,574
105,733,244,2590,9338,6668.9358799454,6243,0,578
106,639,193,5291,10952,6592.6823161189,6199,0,594
107,1539,352,4774,10728,6783.4041585445,6502,0,600
108,999,261,4947,10608,6575.2532532533,6681,0,600
109,423,167,4320,7092,5161.7210401891,4670,0,600
110,515,230,3779,9303,5789.2330097087,5488,0,600
111,500,192,2902,9026,6655.824,6939,0,603
112,872,341,3233,8056,6082.8669724771,5940,0,605
113,677,240,2749,12041,6533.5184638109,6479,0,612
114,1121,318,2903,11983,6716.9384478145,6553,0,634
115,1539,380,5364,12451,7117.9090318389,7290,0,637
116,912,317,6369,12196,7424.7105263158,7193.5,0,638
117,158,47,7143,11523,7467.3734177215,7379,0,650
118,499,85,7377,7963,7444.0340681363,7394,0,650
119,731,170,6206,8958,7412.1778385773,7763,0,650
120,810,241,5322,8749,7880.0493827160,7807,0,650
121,922,341,4243,7986,7348.7754880694,7502,0,650
122,772,305,3662,9682,7230.4935233161,6987.5,0,685
123,1140,331,3802,13549,8722.6271929825,8723,0,692
124,1310,416,4262,13461,8714.4656488550,8451.5,0,692
125,126,51,6746,12478,7679.7619047619,7384,0,696
126,617,134,6970,8950,8177.6045380875,8672,0,700
127,430,127,8554,14017,8973.9651162791,8680,0,700
